12:30:01: 	Неизвестный пользователь: 	Системное сообщение	Ожидается авторизация пользователя
14:22:11: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:22:12: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:22:12: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:22:12: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:22:12: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:22:12: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:22:12: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:22:12: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:22:12: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:22:12: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:22:13: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:22:13: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:22:13: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:22:13: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:22:13: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:22:13: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:22:13: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:22:13: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:22:13: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:22:14: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:22:14: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:22:14: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:22:14: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
14:22:14: 	Пользователь-1: 	Действие программы	Поезд 6204 КАНАЛЬНАЯ-ВОЛГОГРАД 15.11.2018 14:16:00. Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
